Date,Price,Pop
2020-07-28 19:42:49.880795,74.58,237913
2020-07-28 19:43:05.287534,74.58,237913
2020-07-28 19:43:20.724935,74.58,237913
2020-07-28 19:43:36.156143,74.58,237913
2020-07-28 19:43:51.598068,74.58,237913
2020-07-28 19:44:07.036756,74.59,237913
2020-07-28 19:44:22.461016,74.59,237913
2020-07-28 19:44:37.891940,74.6,237913
2020-07-28 19:44:53.316143,74.6,237913
2020-07-28 19:45:08.770842,74.6,237913
2020-07-28 19:45:24.250931,74.58,237913
2020-07-28 19:45:39.684294,74.59,237913
2020-07-28 19:45:55.163883,74.59,237913
2020-07-28 19:46:10.618025,74.59,237913
2020-07-28 19:46:26.064908,74.59,237913
2020-07-28 19:46:41.509512,74.59,237913
2020-07-28 19:46:56.926559,74.57,237913
2020-07-28 19:47:12.369613,74.59,237913
2020-07-28 19:47:27.807833,74.59,237913
2020-07-28 19:47:43.257481,74.59,237913
2020-07-28 19:47:58.696869,74.59,237913
2020-07-28 19:48:14.176102,74.6,237913
2020-07-28 19:48:29.718004,74.6,237913
2020-07-28 19:48:45.151733,74.59,237913
2020-07-28 19:49:00.578464,74.58,237913
2020-07-28 19:49:16.012249,74.59,237913
2020-07-28 19:49:31.447836,74.6,237913
2020-07-28 19:49:46.865709,74.6,237913
2020-07-28 19:50:02.302214,74.6,237913
2020-07-28 19:50:17.740954,74.59,237913
2020-07-28 19:50:33.167212,74.59,237913
2020-07-28 19:50:48.613742,74.59,237913
2020-07-28 19:51:04.041479,74.58,237913
2020-07-28 19:51:19.477025,74.57,237913
2020-07-28 19:51:34.902913,74.58,237913
2020-07-28 19:51:50.321117,74.58,237913
2020-07-28 19:52:05.746070,74.58,237913
2020-07-28 19:52:21.170104,74.58,237913
2020-07-28 19:52:36.658205,74.57,237913
2020-07-28 19:52:52.074801,74.56,237913
2020-07-28 19:53:07.523432,74.57,237913
2020-07-28 19:53:22.958041,74.59,237913
2020-07-28 19:53:38.393622,74.59,237913
2020-07-28 19:53:53.814563,74.58,237913
2020-07-28 19:54:09.236210,74.58,237913
2020-07-28 19:54:24.665592,74.58,237913
2020-07-28 19:54:40.076942,74.58,237913
2020-07-28 19:54:55.500954,74.58,237913
2020-07-28 19:55:10.937205,74.59,237913
2020-07-28 19:55:26.368282,74.59,237913
2020-07-28 19:55:41.803060,74.59,237913
2020-07-28 19:55:57.259935,74.6,237913
